epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.1377750039100647,2.4048213958740234,0.0037356,0.10000000149011612,2.488088369369507
1,0.20542499423027039,2.0974740982055664,0.0037356,0.13590000569820404,2.377920627593994
2,0.23600000143051147,1.9806581735610962,0.0037356,0.15839999914169312,2.3035926818847656
3,0.2560249865055084,1.932861089706421,0.0037356,0.23330000042915344,2.3571345806121826
4,0.2765499949455261,1.892704725265503,0.0037356,0.21170000731945038,2.9900665283203125
5,0.2921999990940094,1.851452112197876,0.0037356,0.27160000801086426,1.9528872966766357
6,0.3050999939441681,1.833360195159912,0.0037356,0.24639999866485596,2.002660036087036
7,0.31369999051094055,1.8109500408172607,0.0037356,0.2556000053882599,2.061312675476074
8,0.3222750127315521,1.7909067869186401,0.0037356,0.2485000044107437,2.5656042098999023
9,0.32850000262260437,1.776349663734436,0.0037356,0.2371000051498413,1.984636664390564
10,0.33774998784065247,1.7579021453857422,0.0037356,0.18790000677108765,3.3046631813049316
11,0.34302499890327454,1.749803066253662,0.0037356,0.2782999873161316,2.2530202865600586
12,0.3506999909877777,1.728331208229065,0.0037356,0.3012999892234802,1.8732576370239258
13,0.35452499985694885,1.7249488830566406,0.0037356,0.31540000438690186,1.9747859239578247
14,0.36305001378059387,1.7189058065414429,0.0037356,0.27790001034736633,2.3832035064697266
15,0.35929998755455017,1.7209542989730835,0.0037356,0.20600000023841858,2.1282153129577637
16,0.36090001463890076,1.735061526298523,0.0037356,0.15189999341964722,4.214669704437256
17,0.3524250090122223,1.7354527711868286,0.0037356,0.17509999871253967,2.394929885864258
18,0.3555000126361847,1.7094004154205322,0.0037356,0.23499999940395355,3.250570774078369
19,0.3630000054836273,1.6985894441604614,0.0037356,0.11330000311136246,5.367659568786621
20,0.35667499899864197,1.7040369510650635,0.0037356,0.27090001106262207,1.9627652168273926
21,0.3825500011444092,1.6296813488006592,0.0037356,0.1941000074148178,2.3011956214904785
22,0.39397498965263367,1.6077498197555542,0.0037356,0.259799987077713,2.0904738903045654
23,0.4110249876976013,1.586248755455017,0.0037356,0.34049999713897705,1.804665446281433
24,0.4297749996185303,1.5586093664169312,0.0037356,0.3896999955177307,1.6244977712631226
25,0.44394999742507935,1.5149576663970947,0.0037356,0.27309998869895935,2.5857808589935303
26,0.4575499892234802,1.4827136993408203,0.0037356,0.3806999921798706,1.8158820867538452
